source_key	family	discovery_kind	owner
symbol:ProductivityEditorComponents.PaneAwareAlertDialog	shared	dialog	app/src/main/java/com/whip/app/ui/ProductivityEditorComponents.kt
symbol:ProductivityEditorComponents.ProductivityEditorDialog	shared	dialog	app/src/main/java/com/whip/app/ui/ProductivityEditorComponents.kt
symbol:ReviewDialog.ReviewDialog	shared	dialog	app/src/main/java/com/whip/app/ui/ReviewDialog.kt
symbol:RoutineBuilder.ExercisePickerPage	gym	page	app/src/main/java/com/whip/app/ui/RoutineBuilder.kt
symbol:RoutineBuilder.FiveThreeOneProgramSetupDialog	gym	dialog	app/src/main/java/com/whip/app/ui/RoutineBuilder.kt
symbol:RoutineBuilder.QuickMachineDialog	gym	dialog	app/src/main/java/com/whip/app/ui/RoutineBuilder.kt
symbol:RoutineBuilder.RepPrescriptionSchemeDialog	gym	dialog	app/src/main/java/com/whip/app/ui/RoutineBuilder.kt
symbol:RoutineBuilder.RoutineBuilderScreen	gym	page	app/src/main/java/com/whip/app/ui/RoutineBuilder.kt
symbol:RoutineBuilder.RoutineProgramStructurePage	gym	page	app/src/main/java/com/whip/app/ui/RoutineBuilder.kt
symbol:RoutineBuilder.WorkoutPickerPage	gym	page	app/src/main/java/com/whip/app/ui/RoutineBuilder.kt
symbol:SettingsScreens.CustomIdentityEmojiDialog	settings	dialog	app/src/main/java/com/whip/app/ui/SettingsScreens.kt
symbol:SettingsScreens.SettingsContent	settings	page	app/src/main/java/com/whip/app/ui/SettingsScreens.kt
symbol:StartupRecoveryScreen.StartupRecoveryScreen	settings	page	app/src/main/java/com/whip/app/ui/StartupRecoveryScreen.kt
symbol:TagManagementDialog.CreateTagDialog	organization	dialog	app/src/main/java/com/whip/app/ui/TagManagementDialog.kt
symbol:TagManagementDialog.MergeTagDialog	organization	dialog	app/src/main/java/com/whip/app/ui/TagManagementDialog.kt
symbol:TagManagementDialog.RenameTagDialog	organization	dialog	app/src/main/java/com/whip/app/ui/TagManagementDialog.kt
symbol:TagManagementDialog.TagManagementDialog	organization	dialog	app/src/main/java/com/whip/app/ui/TagManagementDialog.kt
symbol:TaskComponents.CompletedTaskDialog	tasks	dialog	app/src/main/java/com/whip/app/ui/TaskComponents.kt
symbol:TaskComponents.PermanentTaskDeleteDialog	tasks	dialog	app/src/main/java/com/whip/app/ui/TaskComponents.kt
symbol:TaskComponents.TaskActionsDialog	tasks	dialog	app/src/main/java/com/whip/app/ui/TaskComponents.kt
symbol:TaskEditorDialog.TaskEditorDialog	tasks	dialog	app/src/main/java/com/whip/app/ui/TaskEditorDialog.kt
symbol:TaskEditorDialog.TaskRecipeDialog	tasks	dialog	app/src/main/java/com/whip/app/ui/TaskEditorDialog.kt
